iter	Passed	Remaining
672	7729	3755
673	7743	3745
674	7755	3733
675	7771	3724
676	7787	3715
677	7804	3706
678	7820	3697
679	7835	3687
680	7851	3677
681	7865	3667
682	7875	3655
683	7888	3644
684	7902	3634
685	7915	3623
686	7929	3612
687	7943	3602
688	7958	3592
689	7970	3580
690	7981	3569
691	7993	3557
692	8005	3546
693	8017	3535
694	8030	3524
695	8042	3513
696	8053	3501
697	8065	3489
698	8076	3477
699	8088	3466
700	8100	3455
701	8112	3443
702	8124	3432
703	8136	3420
704	8147	3409
705	8159	3397
706	8170	3386
707	8181	3374
708	8193	3362
709	8203	3350
710	8214	3338
711	8226	3327
712	8237	3315
713	8248	3304
714	8259	3292
715	8270	3280
716	8281	3268
717	8294	3257
718	8307	3246
719	8317	3234
720	8328	3223
721	8341	3211
722	8351	3199
723	8361	3187
724	8373	3176
725	8385	3164
726	8396	3152
727	8408	3141
728	8419	3130
729	8431	3118
730	8443	3107
731	8456	3095
732	8465	3083
733	8478	3072
734	8491	3061
735	8502	3049
736	8513	3038
737	8525	3026
738	8536	3014
739	8547	3003
740	8558	2991
741	8570	2979
742	8582	2968
743	8592	2956
744	8605	2945
745	8615	2933
746	8626	2921
747	8636	2909
748	8648	2898
749	8659	2886
750	8671	2875
751	8683	2863
752	8696	2852
753	8707	2840
754	8718	2829
755	8728	2817
756	8741	2805
757	8751	2793
758	8763	2782
759	8774	2770
760	8785	2759
761	8797	2747
762	8808	2736
763	8820	2724
764	8832	2713
765	8844	2701
766	8856	2690
767	8868	2678
768	8879	2667
769	8890	2655
770	8902	2644
771	8912	2632
772	8923	2620
773	8933	2608
774	8946	2597
775	8957	2585
776	8969	2574
777	8979	2562
778	8991	2550
779	9001	2538
780	9013	2527
781	9024	2515
782	9035	2504
783	9047	2492
784	9059	2481
785	9072	2470
786	9081	2457
787	9091	2445
788	9102	2434
789	9114	2422
790	9125	2411
791	9137	2399
792	9149	2388
793	9162	2377
794	9175	2366
795	9188	2354
796	9200	2343
797	9211	2331
798	9222	2320
799	9233	2308
800	9244	2296
801	9254	2284
802	9267	2273
803	9278	2261
804	9287	2249
805	9298	2238
806	9311	2226
807	9323	2215
808	9336	2204
809	9348	2192
810	9360	2181
811	9371	2169
812	9385	2158
813	9397	2147
814	9409	2135
815	9422	2124
816	9432	2112
817	9445	2101
818	9457	2090
819	9469	2078
820	9479	2066
821	9490	2055
822	9501	2043
823	9514	2032
824	9524	2020
825	9534	2008
826	9545	1996
827	9556	1985
828	9568	1973
829	9581	1962
830	9593	1950
831	9604	1939
832	9615	1927
833	9625	1915
834	9636	1904
835	9647	1892
836	9660	1881
837	9672	1869
838	9685	1858
839	9698	1847
840	9710	1835
841	9722	1824
842	9735	1813
843	9747	1801
844	9758	1790
845	9770	1778
846	9782	1767
847	9794	1755
848	9805	1743
849	9816	1732
850	9828	1720
851	9840	1709
852	9851	1697
853	9863	1686
854	9874	1674
855	9886	1663
856	9898	1651
857	9908	1639
858	9918	1628
859	9929	1616
860	9941	1604
861	9953	1593
862	9965	1581
863	9977	1570
864	9988	1558
865	10001	1547
866	10013	1536
867	10025	1524
868	10037	1513
869	10048	1501
870	10061	1490
871	10073	1478
872	10086	1467
873	10100	1456
874	10112	1444
875	10124	1433
876	10136	1421
877	10147	1410
878	10159	1398
879	10169	1386
880	10178	1374
881	10190	1363
882	10203	1352
883	10215	1340
884	10228	1329
885	10239	1317
886	10252	1306
887	10261	1294
888	10272	1282
889	10284	1271
890	10295	1259
891	10306	1247
892	10317	1236
893	10329	1224
894	10341	1213
895	10350	1201
896	10359	1189
897	10370	1177
898	10382	1166
899	10393	1154
900	10403	1143
901	10415	1131
902	10428	1120
903	10442	1108
904	10453	1097
905	10465	1085
906	10476	1074
907	10487	1062
908	10498	1050
909	10509	1039
910	10521	1027
911	10532	1016
912	10545	1004
913	10556	993
914	10568	981
915	10579	970
916	10589	958
917	10599	946
918	10610	935
919	10622	923
920	10632	911
921	10644	900
922	10656	888
923	10668	877
924	10678	865
925	10687	854
926	10699	842
927	10710	831
928	10722	819
929	10734	807
930	10745	796
931	10756	784
932	10769	773
933	10780	761
934	10790	750
935	10801	738
936	10813	727
937	10825	715
938	10837	704
939	10849	692
940	10861	680
941	10873	669
942	10883	657
943	10894	646
944	10905	634
945	10913	622
946	10925	611
947	10935	599
948	10946	588
949	10957	576
950	10968	565
951	10979	553
952	10991	542
953	11002	530
954	11014	519
955	11027	507
956	11039	496
957	11049	484
958	11063	472
959	11074	461
960	11085	449
961	11097	438
962	11108	426
963	11120	415
964	11129	403
965	11141	392
966	11152	380
967	11164	369
968	11174	357
969	11184	345
970	11196	334
971	11206	322
972	11218	311
973	11229	299
974	11241	288
975	11251	276
976	11261	265
977	11273	253
978	11285	242
979	11295	230
980	11308	219
981	11320	207
982	11332	195
983	11344	184
984	11356	172
985	11369	161
986	11380	149
987	11392	138
988	11405	126
989	11416	115
990	11428	103
991	11442	92
992	11453	80
993	11465	69
994	11474	57
995	11487	46
996	11497	34
997	11510	23
998	11521	11
999	11533	0
