iter	Passed	Remaining
174	1082	5101
175	1088	5096
176	1094	5091
177	1101	5087
178	1108	5085
179	1115	5081
180	1121	5074
181	1127	5067
182	1134	5063
183	1140	5056
184	1146	5050
185	1154	5054
186	1161	5049
187	1167	5042
188	1173	5035
189	1181	5035
190	1189	5038
191	1197	5041
192	1203	5032
193	1209	5025
194	1217	5026
195	1225	5026
196	1232	5022
197	1238	5016
198	1244	5008
199	1250	5000
200	1257	4999
201	1264	4995
202	1270	4988
203	1277	4985
204	1283	4976
205	1289	4971
206	1297	4969
207	1305	4970
208	1311	4964
209	1318	4958
210	1323	4949
211	1329	4942
212	1336	4939
213	1343	4932
214	1349	4926
215	1355	4919
216	1361	4912
217	1368	4908
218	1373	4899
219	1380	4894
220	1385	4884
221	1391	4877
222	1398	4872
223	1404	4865
224	1411	4861
225	1416	4852
226	1422	4845
227	1430	4841
228	1435	4833
229	1441	4826
230	1447	4820
231	1454	4815
232	1462	4812
233	1467	4805
234	1474	4800
235	1478	4785
236	1483	4774
237	1488	4765
238	1495	4760
239	1500	4750
240	1506	4745
241	1513	4739
242	1518	4731
243	1525	4727
244	1530	4717
245	1537	4711
246	1543	4704
247	1549	4698
248	1555	4692
249	1560	4682
250	1566	4675
251	1572	4667
252	1577	4658
253	1584	4653
254	1590	4645
255	1596	4640
256	1602	4632
257	1609	4630
258	1615	4620
259	1620	4612
260	1625	4603
261	1632	4599
262	1640	4597
263	1648	4594
264	1655	4591
265	1661	4585
266	1668	4581
267	1675	4575
268	1679	4562
269	1684	4553
270	1691	4550
271	1696	4541
272	1703	4536
273	1709	4530
274	1715	4522
275	1722	4517
276	1726	4507
277	1732	4500
278	1739	4494
279	1744	4486
280	1750	4478
281	1755	4470
282	1761	4464
283	1769	4461
284	1774	4452
285	1780	4445
286	1786	4438
287	1792	4431
288	1799	4426
289	1804	4418
290	1810	4410
291	1817	4405
292	1822	4397
293	1829	4393
294	1835	4386
295	1842	4381
296	1847	4373
297	1853	4365
298	1859	4359
299	1865	4352
300	1871	4345
301	1876	4337
302	1882	4331
303	1889	4325
304	1894	4316
305	1900	4309
306	1905	4301
307	1908	4288
308	1913	4280
309	1921	4275
310	1926	4267
311	1932	4261
312	1937	4253
313	1943	4246
314	1950	4241
315	1955	4233
316	1961	4226
317	1967	4220
318	1972	4211
319	1978	4204
320	1984	4197
321	1989	4188
322	1995	4183
323	2001	4175
324	2007	4168
325	2014	4163
326	2019	4156
327	2027	4153
328	2034	4150
329	2040	4143
330	2048	4141
331	2058	4141
332	2065	4136
333	2073	4134
334	2079	4128
335	2086	4122
336	2091	4114
337	2097	4107
338	2103	4100
339	2108	4092
340	2114	4087
341	2122	4082
342	2128	4076
343	2134	4071
344	2141	4065
345	2147	4058
346	2153	4052
347	2158	4044
348	2164	4038
349	2170	4031
350	2177	4025
351	2183	4019
352	2188	4011
353	2195	4005
354	2200	3998
355	2206	3991
356	2213	3986
357	2218	3979
358	2224	3972
359	2230	3965
360	2235	3957
361	2241	3950
362	2247	3944
363	2253	3938
364	2259	3931
365	2265	3924
366	2271	3917
367	2276	3909
368	2281	3902
369	2288	3896
370	2293	3889
371	2299	3882
372	2305	3875
373	2311	3868
374	2317	3862
375	2323	3856
376	2329	3849
377	2334	3841
378	2341	3836
379	2347	3830
380	2353	3823
381	2360	3819
382	2366	3812
383	2372	3805
384	2378	3799
385	2384	3792
386	2389	3785
387	2394	3777
388	2399	3769
389	2406	3764
390	2411	3756
391	2417	3749
392	2423	3742
393	2428	3735
394	2434	3729
395	2441	3724
396	2447	3717
397	2454	3712
398	2460	3706
399	2465	3698
400	2472	3694
401	2478	3687
402	2484	3680
403	2490	3673
404	2495	3666
405	2502	3661
406	2508	3655
407	2514	3648
408	2521	3643
409	2526	3636
410	2533	3630
411	2539	3623
412	2545	3617
413	2551	3611
414	2557	3604
415	2563	3598
416	2569	3592
417	2575	3586
